Time;Temp1;OldTemp2;OldLight
00:00;16.2;448863728.6;5912.0
00:10;16.1;448864744.7;5400.0
00:20;16.1;448865760.8;4702.0
00:30;15.5;448866776.3;7412.0
00:40;14.9;448867791.3;3457.0
00:50;15.2;448868806.4;704.0
01:00;14.8;448869821.2;6037.0
01:10;14.8;448870836.0;6045.0
01:20;15.2;448871851.1;1182.0
01:30;15.2;448872866.3;4375.0
01:40;15.1;448873881.5;8906.0
01:50;15.2;448874896.7;3346.0
02:00;15.4;448875912.1;1709.0
02:10;15.1;448876927.2;5067.0
02:20;14.6;448877941.8;7818.0
02:30;13.8;448878955.6;6027.0
02:40;14.5;448879970.1;7395.0
02:50;14.9;448880985.0;280.0
03:00;15.0;448882000.0;1924.0
03:10;14.9;448883014.9;4998.0
03:20;15.0;448884029.9;8557.0
03:30;15.1;448885045.0;4418.0
03:40;15.1;448886060.1;1250.0
03:50;15.0;448887075.1;3716.0
04:00;14.8;448888089.9;7889.0
04:10;14.2;448889104.1;4306.0
04:20;14.6;448890118.7;7786.0
04:30;14.8;448891133.5;2751.0
04:40;15.1;448892148.5;3046.0
04:50;15.2;448893163.7;3941.0
05:00;15.1;448894178.7;9136.0
05:10;15.3;448895194.0;909.0
05:20;15.3;448896209.3;9774.0
05:30;15.6;448897224.9;3172.0
05:40;16.0;448898240.9;5368.0
05:50;16.4;448899257.3;2927.0
06:00;17.0;448900274.2;7032.0
06:10;17.6;448901291.8;2320.0
06:20;18.4;448902310.2;7302.0
06:30;19.2;448903329.5;906.0
06:40;19.3;448904348.8;6406.0
06:50;19.5;448905368.2;9132.0
07:00;19.5;448906387.8;774.0
07:10;19.9;448907407.6;3851.0
07:20;20.0;448908427.7;5730.0
07:30;20.2;448909447.9;9394.0
07:40;20.3;448910468.2;324.0
07:50;20.7;448911488.9;119.0
08:00;20.6;448912509.4;1017.0
08:10;20.2;448913529.6;9641.0
08:20;20.1;448914549.7;173.0
08:30;20.6;448915570.4;3355.0
08:40;20.3;448916590.7;9321.0
08:50;20.1;448917610.8;6375.0
09:00;20.6;448918631.4;4179.0
09:10;20.7;448919652.1;6217.0
09:20;20.8;448920672.9;9653.0
09:30;20.6;448921693.5;1632.0
09:40;21.1;448922714.7;1792.0
09:50;21.3;448923736.0;167.0
10:00;20.9;448924756.8;4890.0
10:10;20.2;448925777.1;6944.0
10:20;20.3;448926797.4;6713.0
10:30;21.5;448927818.9;2053.0
10:40;22.1;448928841.0;6185.0
10:50;22.0;448929863.0;3773.0
11:00;22.0;448930885.0;1127.0
11:10;22.6;448931907.6;1767.0
11:20;22.4;448932930.0;8493.0
11:30;22.4;448933952.4;6368.0
11:40;21.9;448934974.4;8382.0
11:50;22.2;448935996.6;9650.0
12:00;22.9;448937019.5;3815.0
12:10;23.2;448938042.7;7869.0
12:20;23.2;448939065.9;8471.0
12:30;23.6;448940089.4;4449.0
12:40;23.2;448941112.7;7021.0
12:50;22.1;448942134.8;6202.0
13:00;21.5;448943156.2;9610.0
13:10;20.6;448944176.8;1151.0
13:20;20.6;448945197.3;6850.0
13:30;20.7;448946218.0;6266.0
13:40;20.9;448947239.0;7115.0
13:50;21.2;448948260.2;8772.0
14:00;21.9;448949282.1;8180.0
14:10;22.2;448950304.3;1854.0
14:20;22.3;448951326.6;9040.0
14:30;22.8;448952349.4;2008.0
14:40;22.5;448953371.9;1450.0
14:50;22.0;448954393.9;916.0
15:00;22.2;448955416.1;211.0
15:10;22.3;448956438.5;7953.0
15:20;22.8;448957461.2;8243.0
15:30;22.9;448958484.1;4011.0
15:40;22.8;448959506.9;8387.0
15:50;22.0;448960528.9;3006.0
16:00;21.3;448961550.1;4630.0
16:10;20.9;448962571.0;6663.0
16:20;20.9;448963591.9;3261.0
16:30;21.1;448964613.0;7128.0
16:40;21.5;448965634.5;4347.0
16:50;21.8;448966656.3;8802.0
17:00;21.9;448967678.3;8612.0
17:10;21.9;448968700.1;2975.0
17:20;22.0;448969722.1;3566.0
17:30;22.0;448970744.1;2805.0
17:40;22.0;448971766.1;9139.0
17:50;21.9;448972788.1;1460.0
18:00;21.8;448973809.9;1045.0
18:10;21.7;448974831.6;5087.0
18:20;21.6;448975853.1;8944.0
18:30;21.2;448976874.3;4999.0
18:40;20.6;448977894.9;5951.0
18:50;20.5;448978915.4;3046.0
19:00;20.2;448979935.6;380.0
19:10;20.1;448980955.8;5506.0
19:20;20.0;448981975.7;2265.0
19:30;20.0;448982995.7;8238.0
19:40;20.0;448984015.8;2644.0
19:50;19.4;448985035.2;5729.0
20:00;18.9;448986054.1;475.0
20:10;18.4;448987072.6;5306.0
20:20;17.7;448988090.3;2539.0
20:30;17.9;448989108.2;7363.0
20:40;17.9;448990126.1;5122.0
20:50;17.6;448991143.7;8561.0
21:00;17.2;448992160.9;3742.0
21:10;17.1;448993178.0;3520.0
21:20;16.8;448994194.8;6333.0
21:30;16.7;448995211.6;4300.0
21:40;15.9;448996227.5;4426.0
21:50;16.5;448997244.0;4816.0
22:00;16.9;448998260.9;6386.0
22:10;16.9;448999277.8;7493.0
22:20;17.0;449000294.7;2147.0
22:30;17.2;449001311.9;3763.0
22:40;17.3;449002329.2;3868.0
22:50;16.9;449003346.1;4354.0
23:00;16.5;449004362.6;2475.0
23:10;16.4;449005379.0;5415.0
23:20;16.4;449006395.4;3432.0
23:30;16.2;449007411.6;9198.0
23:40;16.1;449008427.7;3083.0
23:50;15.5;449009443.1;9269.0
