Time;Temp1;Temp2;Light
00:00;8.2;79360222.6;4164.0
00:10;8.2;79361230.8;8550.0
00:20;8.2;79362239.1;1728.0
00:30;8.2;79363247.3;7735.0
00:40;8.4;79364255.7;5010.0
00:50;8.3;79365264.0;6754.0
01:00;8.3;79366272.3;8419.0
01:10;8.4;79367280.7;6612.0
01:20;8.4;79368289.1;4321.0
01:30;7.9;79369297.1;1367.0
01:40;7.8;79370304.9;6946.0
01:50;8.0;79371312.9;695.0
02:00;8.1;79372321.0;1858.0
02:10;7.4;79373328.5;7340.0
02:20;6.9;79374335.4;9398.0
02:30;7.2;79375342.7;5334.0
02:40;7.5;79376350.2;9100.0
02:50;7.5;79377357.6;8820.0
03:00;7.3;79378364.9;2742.0
03:10;7.3;79379372.2;9730.0
03:20;7.3;79380379.5;2831.0
03:30;7.2;79381386.7;8979.0
03:40;7.2;79382394.0;9013.0
03:50;7.2;79383401.2;1302.0
04:00;7.4;79384408.6;2031.0
04:10;7.3;79385415.9;8741.0
04:20;7.4;79386423.3;7355.0
04:30;7.5;79387430.9;4549.0
04:40;7.8;79388438.6;1959.0
04:50;7.9;79389446.5;6302.0
05:00;8.0;79390454.5;6408.0
05:10;7.8;79391462.3;7323.0
05:20;8.0;79392470.3;9422.0
05:30;8.1;79393478.4;7869.0
05:40;8.4;79394486.8;5208.0
05:50;9.3;79395496.1;4130.0
06:00;10.1;79396506.2;8696.0
06:10;10.4;79397516.6;7608.0
06:20;11.0;79398527.6;9647.0
06:30;11.0;79399538.6;5548.0
06:40;11.0;79400549.6;3013.0
06:50;11.0;79401560.6;6683.0
07:00;11.1;79402571.6;4551.0
07:10;11.0;79403582.7;6030.0
07:20;11.4;79404594.0;5359.0
07:30;11.1;79405605.1;3051.0
07:40;11.4;79406616.5;966.0
07:50;11.6;79407628.1;1242.0
08:00;11.5;79408639.6;7921.0
08:10;11.8;79409651.4;5482.0
08:20;12.4;79410663.8;7046.0
08:30;12.2;79411676.1;8160.0
08:40;11.8;79412687.8;8189.0
08:50;11.3;79413699.2;9618.0
09:00;11.3;79414710.5;323.0
09:10;12.5;79415723.0;1259.0
09:20;13.3;79416736.3;4551.0
09:30;12.8;79417749.1;3603.0
09:40;11.8;79418760.9;3247.0
09:50;11.6;79419772.5;6488.0
10:00;12.5;79420785.0;8653.0
10:10;13.6;79421798.7;1521.0
10:20;12.8;79422811.5;8891.0
10:30;12.5;79423824.0;6300.0
10:40;12.8;79424836.8;9741.0
10:50;13.6;79425850.4;5261.0
11:00;14.0;79426864.4;7463.0
11:10;14.3;79427878.7;3898.0
11:20;14.1;79428892.9;6507.0
11:30;14.4;79429907.3;7320.0
11:40;14.8;79430922.1;954.0
11:50;14.3;79431936.4;9697.0
12:00;14.2;79432950.6;8126.0
12:10;14.7;79433965.3;4335.0
12:20;14.1;79434979.3;7749.0
12:30;14.2;79435993.5;437.0
12:40;14.4;79437007.9;9287.0
12:50;14.8;79438022.7;2149.0
13:00;14.9;79439037.6;7302.0
13:10;14.7;79440052.2;8277.0
13:20;15.0;79441067.3;3821.0
13:30;15.3;79442082.6;3399.0
13:40;15.3;79443097.9;4692.0
13:50;15.6;79444113.5;3621.0
14:00;15.6;79445129.0;8866.0
14:10;15.3;79446144.3;7986.0
14:20;15.1;79447159.4;3673.0
14:30;15.2;79448174.6;5489.0
14:40;14.9;79449189.5;4585.0
14:50;14.7;79450204.2;7641.0
15:00;15.2;79451219.4;1764.0
15:10;15.3;79452234.7;220.0
15:20;15.4;79453250.1;780.0
15:30;15.7;79454265.8;5756.0
15:40;15.5;79455281.4;9040.0
15:50;15.4;79456296.8;4.0
16:00;14.7;79457311.4;9065.0
16:10;14.4;79458325.8;5700.0
16:20;15.0;79459340.8;2836.0
16:30;15.0;79460355.8;8733.0
16:40;14.3;79461370.1;5238.0
16:50;14.2;79462384.3;6113.0
17:00;14.6;79463398.9;2886.0
17:10;14.6;79464413.4;8969.0
17:20;14.2;79465427.6;7044.0
17:30;14.2;79466441.9;2411.0
17:40;14.1;79467455.9;3987.0
17:50;14.0;79468469.9;4272.0
18:00;14.1;79469484.0;3872.0
18:10;14.1;79470498.1;2436.0
18:20;13.9;79471512.0;5948.0
18:30;14.1;79472526.0;7869.0
18:40;13.9;79473539.9;8982.0
18:50;13.2;79474553.1;1754.0
19:00;12.8;79475565.9;872.0
19:10;12.7;79476578.6;7887.0
19:20;12.8;79477591.4;9779.0
19:30;12.7;79478604.1;7184.0
19:40;12.6;79479616.7;7533.0
19:50;12.4;79480629.2;5086.0
20:00;12.4;79481641.5;3403.0
20:10;12.0;79482653.6;5407.0
20:20;11.8;79483665.4;5777.0
20:30;12.1;79484677.6;967.0
20:40;12.1;79485689.7;1398.0
20:50;11.9;79486701.6;2840.0
21:00;11.8;79487713.4;6718.0
21:10;11.5;79488724.9;5305.0
21:20;11.3;79489736.2;8768.0
21:30;11.4;79490747.6;5611.0
21:40;11.6;79491759.2;8270.0
21:50;11.6;79492770.7;6088.0
22:00;11.3;79493782.0;9485.0
22:10;11.0;79494793.0;6422.0
22:20;10.9;79495803.9;3613.0
22:30;10.8;79496814.7;4068.0
22:40;10.7;79497825.4;9779.0
22:50;10.6;79498836.0;487.0
23:00;10.6;79499846.6;4520.0
23:10;10.5;79500857.1;1938.0
23:20;10.4;79501867.5;337.0
23:30;10.4;79502877.9;395.0
23:40;10.4;79503888.2;1194.0
23:50;10.4;79504898.6;2265.0
