Time;Temp1;OldTemp2;OldLight
00:00;6.8;408249050.0;7718.0
00:10;6.7;408250056.6;1195.0
00:20;6.2;408251062.9;9579.0
00:30;6.0;408252068.8;7844.0
00:40;6.1;408253074.9;4790.0
00:50;6.7;408254081.6;2710.0
01:00;6.9;408255088.5;4292.0
01:10;6.6;408256095.1;941.0
01:20;6.2;408257101.4;5391.0
01:30;6.3;408258107.6;9367.0
01:40;6.2;408259113.8;8032.0
01:50;6.4;408260120.2;2813.0
02:00;6.7;408261126.9;9232.0
02:10;6.7;408262133.6;4462.0
02:20;6.7;408263140.3;1709.0
02:30;6.6;408264146.9;438.0
02:40;6.5;408265153.3;2356.0
02:50;6.6;408266159.9;3639.0
03:00;6.4;408267166.3;9913.0
03:10;6.5;408268172.8;4285.0
03:20;6.3;408269179.1;1773.0
03:30;6.0;408270185.1;4623.0
03:40;6.2;408271191.2;5679.0
03:50;5.7;408272196.9;5200.0
04:00;5.8;408273202.7;9958.0
04:10;5.9;408274208.6;9298.0
04:20;5.8;408275214.4;8675.0
04:30;6.1;408276220.4;6664.0
04:40;6.0;408277226.5;4506.0
04:50;5.9;408278232.4;3984.0
05:00;6.2;408279238.6;8865.0
05:10;6.1;408280244.7;5323.0
05:20;5.6;408281250.3;804.0
05:30;5.7;408282255.9;2515.0
05:40;5.8;408283261.8;3528.0
05:50;6.0;408284267.8;2262.0
06:00;5.6;408285273.4;3221.0
06:10;7.2;408286280.5;3811.0
06:20;8.0;408287288.5;3839.0
06:30;8.8;408288297.3;107.0
06:40;9.2;408289306.5;9899.0
06:50;9.3;408290315.8;6622.0
07:00;9.4;408291325.1;2821.0
07:10;9.7;408292334.8;5665.0
07:20;9.9;408293344.7;5315.0
07:30;10.0;408294354.6;6263.0
07:40;10.0;408295364.7;1426.0
07:50;10.2;408296374.9;9772.0
08:00;10.4;408297385.3;7943.0
08:10;10.5;408298395.8;9056.0
08:20;10.6;408299406.4;3386.0
08:30;10.9;408300417.3;8362.0
08:40;11.3;408301428.6;4646.0
08:50;11.2;408302439.8;5698.0
09:00;11.3;408303451.1;1785.0
09:10;11.3;408304462.5;7060.0
09:20;11.3;408305473.7;6330.0
09:30;11.4;408306485.1;480.0
09:40;11.4;408307496.5;457.0
09:50;11.7;408308508.2;5343.0
10:00;12.0;408309520.2;8422.0
10:10;12.4;408310532.6;6767.0
10:20;12.4;408311545.0;6349.0
10:30;12.1;408312557.1;588.0
10:40;12.3;408313569.4;461.0
10:50;12.7;408314582.1;6438.0
11:00;13.1;408315595.2;7211.0
11:10;13.2;408316608.4;5571.0
11:20;13.2;408317621.6;7569.0
11:30;13.1;408318634.7;8131.0
11:40;13.3;408319648.0;339.0
11:50;13.3;408320661.3;4562.0
12:00;13.4;408321674.7;3864.0
12:10;13.3;408322688.1;5435.0
12:20;13.0;408323701.1;7114.0
12:30;13.1;408324714.2;2576.0
12:40;13.6;408325727.8;593.0
12:50;13.3;408326741.1;7139.0
13:00;13.3;408327754.4;8350.0
13:10;13.3;408328767.8;146.0
13:20;13.3;408329781.1;8426.0
13:30;13.3;408330794.4;2996.0
13:40;13.5;408331807.9;9077.0
13:50;13.5;408332821.3;6797.0
14:00;13.7;408333835.0;3677.0
14:10;13.6;408334848.6;1653.0
14:20;13.5;408335862.1;5175.0
14:30;13.6;408336875.6;1179.0
14:40;13.6;408337889.2;94.0
14:50;13.5;408338902.7;5436.0
15:00;13.4;408339916.2;5239.0
15:10;13.4;408340929.6;2745.0
15:20;13.3;408341942.9;5209.0
15:30;13.2;408342956.1;8099.0
15:40;13.1;408343969.2;5299.0
15:50;13.1;408344982.3;3058.0
16:00;13.0;408345995.3;1337.0
16:10;12.9;408347008.1;6174.0
16:20;12.6;408348020.7;4310.0
16:30;12.3;408349033.0;3309.0
16:40;11.9;408350045.0;1415.0
16:50;11.8;408351056.8;4143.0
17:00;11.3;408352068.0;4513.0
17:10;11.0;408353079.1;1250.0
17:20;10.9;408354090.0;1596.0
17:30;11.0;408355100.9;5343.0
17:40;10.9;408356111.8;967.0
17:50;10.7;408357122.5;8900.0
18:00;10.6;408358133.1;1043.0
18:10;10.3;408359143.4;4282.0
18:20;10.2;408360153.6;3129.0
18:30;10.3;408361164.0;278.0
18:40;10.5;408362174.5;5901.0
18:50;10.5;408363184.9;8463.0
19:00;10.4;408364195.3;2635.0
19:10;9.8;408365205.1;7523.0
19:20;9.2;408366214.4;5082.0
19:30;9.6;408367224.0;6628.0
19:40;9.4;408368233.4;4065.0
19:50;9.4;408369242.8;2656.0
20:00;9.2;408370252.0;6778.0
20:10;9.0;408371261.0;9935.0
20:20;8.8;408372269.8;411.0
20:30;9.0;408373278.9;711.0
20:40;8.9;408374287.8;912.0
20:50;8.7;408375296.5;1315.0
21:00;8.5;408376305.0;6546.0
21:10;8.8;408377313.8;8825.0
21:20;8.7;408378322.5;7332.0
21:30;8.8;408379331.3;1848.0
21:40;9.0;408380340.3;6985.0
21:50;9.1;408381349.4;8710.0
22:00;8.8;408382358.2;1047.0
22:10;8.6;408383366.8;3288.0
22:20;8.8;408384375.6;6038.0
22:30;8.7;408385384.2;7005.0
22:40;8.6;408386392.9;9631.0
22:50;8.7;408387401.5;965.0
23:00;8.6;408388410.1;8001.0
23:10;8.4;408389418.5;6563.0
23:20;8.4;408390427.0;5025.0
23:30;8.3;408391435.3;1793.0
23:40;8.3;408392443.6;9171.0
23:50;8.2;408393451.9;3758.0
