Time;Temp1;Temp2;Light;DigitalTemp;Pressure;Humidity;Rain
00:00;20.662;20.49;0.0;26.68;929.531;54.079;0.0
00:10;20.664;20.489;0.0;26.688;929.422;53.96;0.0
00:20;20.646;20.49;0.0;26.668;929.534;53.988;0.0
00:30;20.641;20.49;0.0;26.668;929.391;53.922;0.0
00:40;20.641;20.49;0.0;26.659;929.236;53.852;0.0
00:50;20.633;20.489;0.0;26.646;929.196;53.816;0.0
01:00;20.63;20.49;0.0;26.63;929.131;53.787;0.0
01:10;20.641;20.49;0.0;26.631;929.182;53.703;0.0
01:20;20.627;20.49;0.0;26.63;929.195;53.614;0.0
01:30;20.628;20.488;0.0;26.623;929.293;53.566;0.0
01:40;20.643;20.49;0.0;26.606;929.346;53.551;0.0
01:50;20.625;20.49;0.0;26.609;929.297;53.473;0.0
02:00;20.64;20.49;0.0;26.594;929.259;53.425;0.0
02:10;20.644;20.49;0.0;26.591;929.176;53.375;0.0
02:20;20.641;20.488;0.0;26.584;929.0;53.335;0.0
02:30;20.637;20.488;0.0;26.583;928.986;53.262;0.0
02:40;20.641;20.49;0.0;26.564;928.938;53.273;0.0
02:50;20.643;20.489;0.0;26.557;928.935;53.21;0.0
03:00;20.653;20.488;0.0;26.554;928.919;53.172;0.0
03:10;20.646;20.488;0.0;26.561;928.931;53.08;0.0
03:20;20.636;20.49;0.0;26.545;929.082;53.044;0.0
03:30;20.664;20.483;0.0;26.537;929.124;53.017;0.0
03:40;20.675;20.49;0.0;26.53;928.981;52.983;0.0
03:50;20.663;20.49;0.0;26.517;929.092;52.914;0.0
04:00;20.705;20.488;0.0;26.504;929.191;52.879;0.0
04:10;20.664;20.487;0.0;26.512;929.302;52.836;0.0
04:20;20.668;20.487;0.0;26.487;929.451;52.876;0.0
04:30;20.748;20.484;0.0;26.499;929.401;52.871;0.0
04:40;20.753;20.483;0.0;26.499;929.399;52.767;0.0
04:50;20.747;20.481;0.0;26.488;929.391;52.661;0.0
05:00;20.72;20.485;0.0;26.483;929.282;52.448;0.0
05:10;20.702;20.487;0.0;26.471;929.241;52.306;0.0
05:20;20.727;20.482;0.0;26.46;929.32;52.092;0.0
05:30;20.752;20.481;0.0;26.452;929.166;51.919;0.0
05:40;20.821;20.464;0.0;26.423;929.091;51.89;0.0
05:50;20.694;20.432;0.0;26.46;929.203;51.868;0.0
06:00;20.702;20.444;0.0;26.513;929.278;51.924;0.0
06:10;20.661;20.471;4.747;26.529;929.367;52.091;0.0
06:20;20.644;20.473;0.0;26.545;929.097;52.091;0.0
06:40;20.974;17.725;0.0;24.845;928.657;55.172;0.0
20:12;20.794;17.725;0.0;24.879;928.674;55.139;0.0
20:22;20.855;17.725;0.0;25.024;928.852;54.818;0.0
20:32;20.717;17.725;0.0;25.311;929.15;54.088;0.0
20:42;20.783;17.725;0.0;25.537;928.971;53.361;0.0
20:52;20.967;17.751;0.0;25.694;929.007;52.932;0.0
21:02;20.94;17.725;0.0;25.805;929.33;52.51;0.0
21:12;20.916;17.725;0.0;25.889;929.716;52.209;0.0
21:22;20.882;17.725;0.0;25.941;929.964;51.993;0.0
21:32;21.002;17.926;0.0;26.03;930.181;52.378;0.0
21:42;21.105;18.212;0.0;26.08;930.233;52.862;0.0
21:52;21.192;19.398;0.0;26.164;930.52;52.943;0.0
22:02;21.187;19.336;0.0;26.183;930.746;52.552;0.0
22:12;21.225;19.237;0.0;26.216;930.637;52.391;0.0
22:22;21.146;18.046;0.0;26.21;930.771;52.281;0.0
22:32;21.136;17.914;0.0;26.201;930.985;52.11;0.0
22:42;21.132;17.751;0.0;26.193;931.099;52.076;0.0
22:52;21.074;17.773;0.0;26.192;931.129;51.985;0.0
23:02;21.008;17.725;0.0;26.183;931.136;51.91;0.0
23:12;20.994;17.751;0.0;26.187;931.173;51.818;0.0
23:22;20.913;17.725;0.0;26.183;931.136;51.718;0.0
23:32;20.913;17.751;0.0;26.18;931.226;51.675;0.0
23:42;20.796;17.725;0.0;26.189;931.167;51.619;0.0
23:52;20.743;17.751;0.0;26.187;931.182;51.611;0.0
