Time;Temp1;Temp2;Light
00:00;1.6;356201914.0;66.0
00:10;1.7;356202915.7;77.0
00:20;1.8;356203917.5;7857.0
00:30;1.7;356204919.2;415.0
00:40;1.6;356205920.8;5887.0
00:50;1.8;356206922.5;8135.0
01:00;1.5;356207924.1;8252.0
01:10;1.5;356208925.6;2058.0
01:20;1.5;356209927.0;6562.0
01:30;1.2;356210928.3;4550.0
01:40;1.1;356211929.4;3213.0
01:50;1.3;356212930.7;9119.0
02:00;1.7;356213932.4;9363.0
02:10;1.9;356214934.3;8127.0
02:20;2.2;356215936.5;2659.0
02:30;2.3;356216938.8;9536.0
02:40;2.2;356217941.0;7433.0
02:50;2.1;356218943.1;5912.0
03:00;2.1;356219945.1;3856.0
03:10;2.1;356220947.2;6135.0
03:20;2.2;356221949.4;6333.0
03:30;2.3;356222951.6;8291.0
03:40;2.2;356223953.8;8086.0
03:50;2.0;356224955.8;1598.0
04:00;2.2;356225958.0;39.0
04:10;2.0;356226960.1;7890.0
04:20;2.0;356227962.1;5470.0
04:30;1.8;356228963.9;1911.0
04:40;1.7;356229965.6;7602.0
04:50;1.7;356230967.3;7313.0
05:00;1.8;356231969.1;8284.0
05:10;1.9;356232971.0;5360.0
05:20;1.9;356233972.9;6024.0
05:30;1.9;356234974.9;4469.0
05:40;1.9;356235976.8;4175.0
05:50;2.0;356236978.8;7848.0
06:00;2.0;356237980.8;4989.0
06:10;2.1;356238982.9;2395.0
06:20;2.1;356239985.0;3338.0
06:30;2.1;356240987.1;4963.0
06:40;2.2;356241989.3;9834.0
06:50;2.2;356242991.5;2254.0
07:00;2.2;356243993.7;8978.0
07:10;2.1;356244995.8;1888.0
07:20;2.1;356245997.9;1670.0
07:30;2.1;356247000.0;3802.0
07:40;2.2;356248002.2;506.0
07:50;2.2;356249004.5;548.0
08:00;2.3;356250006.7;7832.0
08:10;2.3;356251009.0;525.0
08:20;2.2;356252011.2;4594.0
08:30;2.4;356253013.6;6161.0
08:40;2.4;356254016.0;1175.0
08:50;2.3;356255018.3;9335.0
09:00;2.3;356256020.6;8950.0
09:10;2.3;356257022.9;7580.0
09:20;2.4;356258025.4;4672.0
09:30;2.6;356259027.9;5996.0
09:40;2.4;356260030.3;4443.0
09:50;2.5;356261032.8;1703.0
10:00;2.5;356262035.3;642.0
10:10;2.5;356263037.7;9919.0
10:20;2.6;356264040.3;9152.0
10:30;2.7;356265043.0;6387.0
10:40;2.7;356266045.7;8561.0
10:50;2.7;356267048.4;8009.0
11:00;2.8;356268051.2;6560.0
11:10;2.8;356269054.0;6234.0
11:20;3.0;356270057.0;4734.0
11:30;3.3;356271060.3;9471.0
11:40;3.6;356272063.9;8931.0
11:50;3.9;356273067.8;5069.0
12:00;4.3;356274072.0;5470.0
12:10;4.6;356275076.6;7645.0
12:20;5.0;356276081.6;5158.0
12:30;5.1;356277086.7;7675.0
12:40;5.3;356278092.0;741.0
12:50;5.5;356279097.6;7697.0
13:00;5.8;356280103.3;1064.0
13:10;6.0;356281109.4;430.0
13:20;6.2;356282115.6;340.0
13:30;6.5;356283122.1;4640.0
13:40;6.6;356284128.7;7144.0
13:50;6.7;356285135.4;1141.0
14:00;6.7;356286142.1;2286.0
14:10;6.8;356287148.8;9571.0
14:20;6.8;356288155.6;8671.0
14:30;6.9;356289162.6;7036.0
14:40;7.0;356290169.5;2243.0
14:50;6.9;356291176.4;8617.0
15:00;6.9;356292183.3;7076.0
15:10;6.8;356293190.1;305.0
15:20;6.9;356294197.0;8533.0
15:30;7.0;356295204.0;7510.0
15:40;6.9;356296210.9;9780.0
15:50;6.9;356297217.8;7915.0
16:00;6.5;356298224.3;8121.0
16:10;6.2;356299230.5;5844.0
16:20;6.1;356300236.5;5958.0
16:30;5.9;356301242.4;6271.0
16:40;5.8;356302248.2;5606.0
16:50;5.7;356303253.9;2146.0
17:00;5.6;356304259.5;3887.0
17:10;5.5;356305265.0;5667.0
17:20;5.4;356306270.3;9974.0
17:30;5.4;356307275.7;8864.0
17:40;5.3;356308281.0;8099.0
17:50;5.4;356309286.4;2856.0
18:00;5.4;356310291.8;4353.0
18:10;5.5;356311297.3;4968.0
18:20;5.7;356312303.0;4773.0
18:30;5.6;356313308.6;5893.0
18:40;5.5;356314314.1;4833.0
18:50;5.4;356315319.5;9574.0
19:00;5.3;356316324.8;5995.0
19:10;5.2;356317330.0;9093.0
19:20;5.2;356318335.2;1112.0
19:30;5.0;356319340.1;2619.0
19:40;5.1;356320345.3;5572.0
19:50;5.2;356321350.5;8294.0
20:00;4.6;356322355.1;9288.0
20:10;4.5;356323359.6;7084.0
20:20;4.4;356324363.9;1673.0
20:30;4.7;356325368.6;5877.0
20:40;4.6;356326373.2;4954.0
20:50;4.6;356327377.8;7361.0
21:00;4.8;356328382.6;6240.0
21:10;5.0;356329387.6;9648.0
21:20;4.8;356330392.4;6946.0
21:30;4.0;356331396.4;3905.0
21:40;4.4;356332400.8;1672.0
21:50;4.9;356333405.7;6227.0
22:00;4.9;356334410.6;6382.0
22:10;4.8;356335415.4;685.0
22:20;4.5;356336419.8;9117.0
22:30;4.4;356337424.2;4374.0
22:40;4.4;356338428.6;220.0
22:50;4.5;356339433.1;6410.0
23:00;4.4;356340437.5;3438.0
23:10;4.2;356341441.7;1212.0
23:20;4.2;356342445.9;6694.0
23:30;4.4;356343450.3;7970.0
23:40;4.6;356344454.9;8803.0
23:50;4.6;356345459.5;1920.0
