2019-06-28 19:01:17,236 [MainThread  ] [INFO ]  Host ('127.0.0.1', 56679) sent command "info" to ServiceManager
2019-06-28 19:01:30,667 [Thread-3    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:01:31,315 [Thread-4    ] [INFO ]  custom plot creation finished in 0.647057741 sec.
2019-06-28 19:11:15,347 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58967) sent command "info" to ServiceManager
2019-06-28 19:11:26,605 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:27,194 [Thread-6    ] [INFO ]  custom plot creation finished in 0.588414917 sec.
2019-06-28 19:11:35,726 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58999) sent command "stop django" to ServiceManager
2019-06-28 19:11:44,161 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:44,688 [Thread-8    ] [INFO ]  custom plot creation finished in 0.525624491 sec.
2019-06-28 19:11:45,469 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:45,717 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:45,933 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:46,183 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:47,149 [Thread-9    ] [INFO ]  custom plot creation finished in 1.679599844 sec.
2019-06-28 19:11:47,962 [Thread-10   ] [INFO ]  custom plot creation finished in 2.230050168 sec.
2019-06-28 19:11:48,307 [Thread-11   ] [INFO ]  custom plot creation finished in 2.363255058 sec.
2019-06-28 19:11:48,312 [Thread-12   ] [INFO ]  custom plot creation finished in 2.100859771 sec.
2019-06-28 19:11:55,907 [Thread-5    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/generate_plot?start=2018-06-26T21:01&end=2018-06-27T21:01&line=Temp1,auto,none,auto
2019-06-28 19:11:56,389 [Thread-13   ] [INFO ]  custom plot creation finished in 0.480359054 sec.
2019-06-29 17:15:47,381 [Thread-2    ] [INFO ]  HTTP Request from 127.0.0.1:8000 to http://127.0.0.1:8000/
2019-06-29 17:15:47,382 [Thread-2    ] [ERROR]  Data for HomePage not found! 
2019-06-29 17:29:12,256 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57082) sent command "info" to ServiceManager
2019-06-29 17:29:36,166 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57473) sent command "info" to ServiceManager
2019-06-29 17:29:37,047 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57488) sent command "info" to ServiceManager
2019-06-29 17:29:37,365 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57495) sent command "info" to ServiceManager
2019-06-29 17:29:37,590 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57497) sent command "info" to ServiceManager
2019-06-29 17:29:37,798 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57499) sent command "info" to ServiceManager
2019-06-29 17:29:37,976 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57502) sent command "info" to ServiceManager
2019-06-29 17:29:38,157 [MainThread  ] [INFO ]  Host ('127.0.0.1', 57506) sent command "info" to ServiceManager
2019-06-29 17:30:36,070 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58447) sent command "info" to ServiceManager
2019-06-29 17:30:37,256 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58478) sent command "info" to ServiceManager
2019-06-29 17:30:37,670 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58483) sent command "info" to ServiceManager
2019-06-29 17:30:50,206 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58692) sent command "info" to ServiceManager
2019-06-29 17:30:51,149 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58705) sent command "info" to ServiceManager
2019-06-29 17:30:51,542 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58714) sent command "info" to ServiceManager
2019-06-29 17:30:51,886 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58715) sent command "info" to ServiceManager
2019-06-29 17:30:52,125 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58721) sent command "info" to ServiceManager
2019-06-29 17:30:52,334 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58730) sent command "info" to ServiceManager
2019-06-29 17:30:52,529 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58734) sent command "info" to ServiceManager
2019-06-29 17:30:52,710 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58735) sent command "info" to ServiceManager
2019-06-29 17:30:52,884 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58736) sent command "info" to ServiceManager
2019-06-29 17:30:53,072 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58738) sent command "info" to ServiceManager
2019-06-29 17:30:53,244 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58746) sent command "info" to ServiceManager
2019-06-29 17:30:53,413 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58753) sent command "info" to ServiceManager
2019-06-29 17:30:53,886 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58755) sent command "info" to ServiceManager
2019-06-29 17:30:53,935 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58756) sent command "info" to ServiceManager
2019-06-29 17:30:54,108 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58758) sent command "info" to ServiceManager
2019-06-29 17:30:54,235 [MainThread  ] [INFO ]  Host ('127.0.0.1', 58767) sent command "info" to ServiceManager
2019-06-29 19:46:10,593 [ThreadPoolEx] [INFO ]  30 plots (1.495MB) removed because they were older than 86400 seconds.
2019-06-29 19:46:23,221 [MainThread  ] [INFO ]  Host ('127.0.0.1', 64090) sent command "info" to ServiceManager
2019-06-29 19:49:51,678 [ThreadPoolEx] [DEBUG]  measured values [-36.002, 39.439]
2019-06-29 19:49:51,685 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 19:49:51,685 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T19:50:00'
2019-06-29 19:51:16,080 [ThreadPoolEx] [INFO ]  No plots removed.
2019-06-29 19:51:52,009 [MainThread  ] [INFO ]  Host ('127.0.0.1', 51089) sent command "info" to ServiceManager
2019-06-29 19:59:52,252 [ThreadPoolEx] [DEBUG]  measured values [23.106, 10.291]
2019-06-29 19:59:52,253 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 19:59:52,253 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:00:00'
2019-06-29 20:09:53,617 [ThreadPoolEx] [DEBUG]  measured values [101.516, -14.872]
2019-06-29 20:09:53,618 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 20:09:53,618 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:10:00'
2019-06-29 20:19:54,860 [ThreadPoolEx] [DEBUG]  measured values [118.577, 1.562]
2019-06-29 20:19:54,861 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 20:19:54,861 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:20:00'
2019-06-29 20:29:51,083 [ThreadPoolEx] [DEBUG]  measured values [111.001, -2.751]
2019-06-29 20:29:51,084 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 20:29:51,084 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:30:00'
2019-06-29 20:39:52,365 [ThreadPoolEx] [DEBUG]  measured values [100.993, -3.267]
2019-06-29 20:39:52,366 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 20:39:52,366 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:40:00'
2019-06-29 20:49:53,613 [ThreadPoolEx] [DEBUG]  measured values [98.985, -53.467]
2019-06-29 20:49:53,614 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-29 20:49:53,614 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T20:50:00'
2019-06-30 08:33:05,649 [ThreadPoolEx] [DEBUG]  measured values [110.143, -49.304]
2019-06-30 08:33:05,680 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:05,681 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:00:00'
2019-06-30 08:33:11,716 [ThreadPoolEx] [DEBUG]  measured values [142.3, -40.5]
2019-06-30 08:33:11,720 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:11,721 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:10:00'
2019-06-30 08:33:17,807 [ThreadPoolEx] [DEBUG]  measured values [139.7, -37.3]
2019-06-30 08:33:17,815 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:17,815 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:20:00'
2019-06-30 08:33:24,062 [ThreadPoolEx] [DEBUG]  measured values [137.5, -36.7]
2019-06-30 08:33:24,138 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:24,139 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:30:00'
2019-06-30 08:33:30,217 [ThreadPoolEx] [DEBUG]  measured values [140.3, -35.8]
2019-06-30 08:33:30,244 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:30,244 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:40:00'
2019-06-30 08:33:36,401 [ThreadPoolEx] [DEBUG]  measured values [143.0, -40.6]
2019-06-30 08:33:36,403 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:36,403 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T21:50:00'
2019-06-30 08:33:42,413 [ThreadPoolEx] [DEBUG]  measured values [138.0, -38.6]
2019-06-30 08:33:42,415 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:42,416 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:00:00'
2019-06-30 08:33:48,430 [ThreadPoolEx] [DEBUG]  measured values [140.1, -41.3]
2019-06-30 08:33:48,433 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:48,433 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:10:00'
2019-06-30 08:33:54,438 [ThreadPoolEx] [DEBUG]  measured values [139.1, -37.5]
2019-06-30 08:33:54,439 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:33:54,439 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:20:00'
2019-06-30 08:34:00,442 [ThreadPoolEx] [DEBUG]  measured values [136.2, -33.2]
2019-06-30 08:34:00,443 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:34:00,443 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:30:00'
2019-06-30 08:34:06,446 [ThreadPoolEx] [DEBUG]  measured values [139.2, -29.8]
2019-06-30 08:34:06,447 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:34:06,447 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:40:00'
2019-06-30 08:34:12,450 [ThreadPoolEx] [DEBUG]  measured values [135.3, -25.8]
2019-06-30 08:34:12,451 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:34:12,451 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T22:50:00'
2019-06-30 08:34:18,454 [ThreadPoolEx] [DEBUG]  measured values [136.5, -23.5]
2019-06-30 08:34:18,455 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
2019-06-30 08:34:18,455 [ThreadPoolEx] [INFO ]  Measured and saved under label '2019-06-29T23:00:00'
2019-06-30 08:34:24,458 [ThreadPoolEx] [DEBUG]  measured values [136.0, -22.3]
2019-06-30 08:34:24,458 [ThreadPoolEx] [DEBUG]  saved values in day180in19.csv
